Gender,Age,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,18,Yes,1,Graduate,No,5371,2543,91481,240,1,Urban,1
Female,34,Yes,0,Graduate,No,13075,3658,34219,360,1,Semiurban,1
Male,58,Yes,1,Graduate,No,1375,2858,203019,360,1,Semiurban,1
Female,47,Yes,0,Graduate,No,6021,1981,86796,120,1,Rural,1
Male,30,Yes,2,Graduate,Yes,5095,10777,152295,240,1,Urban,1
Male,38,Yes,2,Graduate,No,3570,1019,77495,180,0,Rural,1
Female,36,Yes,0,Graduate,No,12632,870,98830,360,1,Urban,1
Female,36,Yes,2,Graduate,No,1155,1600,121688,360,1,Urban,1
Male,42,Yes,0,Not Graduate,No,7097,1723,82160,360,1,Semiurban,1
Female,39,Yes,0,Not Graduate,No,6527,2018,52781,360,0,Rural,0
Female,48,Yes,0,Graduate,Yes,7468,842,93868,360,1,Urban,1
Female,34,Yes,1,Graduate,No,6921,8654,56063,180,1,Semiurban,1
Male,40,Yes,0,Graduate,No,4193,1371,69904,360,1,Semiurban,1
Male,49,Yes,2,Not Graduate,No,3031,836,76726,180,1,Urban,1
Male,27,Yes,0,Graduate,No,2524,2233,101883,240,1,Rural,1
Male,27,Yes,1,Graduate,No,5180,4343,76328,60,0,Rural,1
Male,53,Yes,0,Graduate,No,3627,6559,60613,360,1,Semiurban,1
Male,25,Yes,2,Not Graduate,No,3208,265,106415,360,1,Urban,1
Male,69,No,0,Graduate,Yes,2611,3340,128142,240,1,Semiurban,1
Male,37,Yes,1,Graduate,No,2850,7372,56695,360,0,Rural,1
Male,49,Yes,0,Graduate,No,5803,1123,99471,360,0,Semiurban,1
Female,67,No,1,Graduate,Yes,3681,1502,133382,360,1,Urban,1
Male,31,Yes,0,Graduate,No,7521,846,102804,180,1,Semiurban,1
Female,67,Yes,1,Graduate,No,1616,1155,60829,360,1,Urban,1
Female,45,No,0,Not Graduate,No,5283,771,108637,360,1,Urban,1
Female,63,No,2,Graduate,No,1988,3819,98701,120,1,Rural,1
Male,69,Yes,0,Not Graduate,No,7521,1660,104903,240,1,Rural,1
Male,41,Yes,0,Graduate,No,7642,163,100218,360,1,Rural,1
Male,32,Yes,0,Graduate,Yes,1562,1116,44027,360,1,Semiurban,1
Male,39,Yes,0,Not Graduate,No,2299,1040,92096,360,1,Semiurban,1
Female,47,Yes,0,Graduate,No,2359,3584,144367,360,0,Semiurban,1
Male,21,Yes,3+,Graduate,No,7766,1712,175401,180,1,Urban,1
Male,30,Yes,3+,Not Graduate,No,2549,1676,146936,240,1,Urban,1
Male,40,No,1,Graduate,No,5508,3023,99741,240,1,Urban,1
Male,25,No,0,Graduate,No,2448,4214,130183,360,1,Semiurban,1
Male,35,Yes,0,Not Graduate,Yes,6941,2239,122663,240,1,Semiurban,1
Female,29,No,1,Graduate,No,7367,1071,89964,180,1,Urban,1
Male,48,Yes,0,Graduate,No,9916,542,156330,240,1,Rural,1
Female,31,No,3+,Not Graduate,No,3285,5767,76216,60,1,Semiurban,1
Male,51,Yes,0,Graduate,No,3647,27208,94553,240,1,Urban,1
Female,35,Yes,3+,Graduate,No,3349,1996,141613,360,1,Urban,1
Male,51,Yes,0,Not Graduate,No,3699,2328,68409,240,1,Urban,1
Male,28,Yes,2,Graduate,Yes,2820,6023,57853,360,1,Rural,1
Female,58,Yes,0,Not Graduate,No,6865,459,66961,360,1,Urban,1
Female,29,No,2,Not Graduate,No,2306,3878,117908,180,1,Urban,1
Female,66,No,0,Graduate,No,3338,2442,241207,360,0,Urban,1
Male,32,Yes,1,Graduate,No,4086,977,159392,360,1,Urban,1
Female,48,Yes,2,Graduate,Yes,4886,1192,135010,180,0,Semiurban,1
Male,66,Yes,0,Graduate,Yes,1782,631,184681,120,1,Urban,1
Male,46,No,0,Not Graduate,No,3141,4447,110831,120,1,Urban,1
Female,43,No,0,Graduate,No,3689,786,77100,180,0,Rural,1
Female,35,No,0,Graduate,No,5892,2513,96322,120,1,Semiurban,1
Male,49,No,0,Graduate,No,3203,492,88697,240,1,Urban,1
Male,39,Yes,0,Not Graduate,No,3424,5516,67155,360,0,Semiurban,0
Female,55,Yes,0,Graduate,No,3953,1534,90822,360,1,Urban,1
Female,34,Yes,1,Not Graduate,No,6833,4263,52893,360,0,Rural,0
Female,40,No,1,Graduate,Yes,1063,1526,86764,360,1,Urban,1
Male,41,Yes,0,Not Graduate,No,3880,1112,94931,180,0,Urban,0
Male,67,Yes,2,Graduate,No,7343,618,92118,360,1,Semiurban,1
Male,25,No,2,Graduate,Yes,2216,4200,193523,240,1,Urban,1
Male,58,Yes,1,Not Graduate,No,2317,1351,106951,360,1,Semiurban,1
Male,23,Yes,0,Graduate,No,7589,2292,199958,360,1,Rural,1
Male,22,No,0,Graduate,No,2952,1026,57012,360,1,Urban,1
Female,61,Yes,1,Not Graduate,No,3005,1783,140160,180,1,Semiurban,1
Male,46,Yes,1,Graduate,No,4299,2130,107536,360,1,Urban,1
Male,45,No,0,Graduate,No,607,443,94941,360,1,Semiurban,1
Male,28,No,1,Graduate,No,1222,1047,58089,60,1,Urban,1
Female,18,No,0,Not Graduate,Yes,5154,6374,113107,360,1,Urban,0
Male,60,Yes,0,Graduate,No,3143,940,245171,360,1,Rural,1
Male,36,Yes,1,Graduate,No,3307,3721,117742,360,1,Urban,1
Female,26,No,1,Graduate,No,2454,2347,96907,360,1,Rural,1
Male,44,Yes,0,Graduate,No,3087,2721,104764,240,1,Semiurban,1
Male,51,Yes,1,Not Graduate,Yes,7444,3001,124973,360,0,Urban,1
Male,61,No,3+,Graduate,No,3940,1837,184433,240,1,Urban,1
Male,21,Yes,1,Graduate,No,6875,1146,85145,360,0,Semiurban,1
Male,53,Yes,1,Graduate,Yes,3318,996,106296,240,1,Semiurban,1
Female,35,Yes,0,Graduate,No,3683,1387,98906,360,1,Semiurban,1
Female,32,Yes,0,Not Graduate,No,4426,4916,82269,360,1,Semiurban,1
Female,68,Yes,0,Graduate,No,4993,611,106773,360,1,Urban,1
Male,30,Yes,1,Graduate,No,2189,1409,182090,360,1,Urban,1
Male,36,No,2,Graduate,Yes,3585,538,76053,180,1,Semiurban,1
Male,66,No,0,Not Graduate,No,2427,1134,114390,360,1,Semiurban,1
Female,23,Yes,0,Graduate,Yes,9003,1636,115961,360,1,Semiurban,1
Male,65,Yes,0,Graduate,No,1293,5518,98329,360,1,Urban,1
Male,29,Yes,0,Not Graduate,No,5175,6018,117260,180,0,Urban,0
Female,68,Yes,3+,Not Graduate,No,2289,429,115231,180,1,Rural,1
Male,54,No,1,Not Graduate,No,1842,539,68477,180,0,Rural,0
Female,34,No,0,Graduate,Yes,3037,1583,96370,360,1,Rural,1
Female,40,No,1,Not Graduate,No,7896,3324,98115,360,1,Urban,1
Female,43,Yes,1,Graduate,No,2476,501,64886,360,0,Urban,1
Male,46,Yes,1,Graduate,No,1233,1344,101071,180,0,Semiurban,0
Male,50,Yes,0,Graduate,Yes,2066,4140,97632,180,0,Semiurban,1
Male,44,Yes,0,Graduate,Yes,3921,4562,221753,360,1,Urban,1
Male,42,No,0,Not Graduate,No,1380,1417,70979,360,1,Semiurban,0
Male,27,No,2,Graduate,No,5612,364,147287,360,1,Urban,1
Male,64,Yes,1,Not Graduate,No,1409,4185,119290,180,1,Urban,1
Male,40,No,1,Not Graduate,No,2726,865,149221,180,0,Semiurban,0
Female,38,Yes,0,Graduate,No,5951,2779,71647,360,1,Urban,1
Male,38,Yes,0,Not Graduate,No,2693,880,46487,240,1,Semiurban,1
Female,60,Yes,0,Graduate,No,1626,1959,94566,240,1,Urban,1
Male,30,Yes,3+,Graduate,Yes,3447,2317,134354,360,1,Urban,1
Male,54,Yes,0,Not Graduate,Yes,2708,5051,86802,360,1,Rural,1
Male,50,No,0,Graduate,No,7533,586,93062,360,0,Semiurban,1
Female,41,No,3+,Graduate,No,5962,893,217548,360,1,Rural,1
Female,61,Yes,1,Graduate,No,4933,6574,73791,360,1,Semiurban,1
Female,28,Yes,2,Not Graduate,No,3688,2175,142938,360,1,Semiurban,1
Female,34,No,0,Graduate,No,3192,908,66679,360,1,Rural,1
Male,21,No,1,Graduate,No,3182,3224,156383,360,1,Urban,1
Female,64,No,0,Graduate,No,1305,812,95997,360,1,Semiurban,1
Male,42,Yes,2,Not Graduate,No,3647,2114,120010,360,1,Rural,1
Male,47,No,0,Graduate,No,2263,1045,76342,360,0,Urban,1
Female,26,Yes,0,Graduate,No,3458,4887,102505,360,1,Semiurban,1
Female,38,No,2,Graduate,No,3756,911,105609,360,1,Rural,1
Female,37,Yes,1,Graduate,No,2720,216,56081,360,0,Rural,1
Female,36,No,1,Graduate,No,6373,1262,81038,360,0,Rural,1
Female,36,Yes,0,Graduate,No,1910,1060,109850,60,0,Semiurban,0
Female,29,Yes,0,Graduate,No,2707,1487,73020,360,1,Semiurban,1
Female,54,Yes,1,Graduate,Yes,2989,2823,105888,360,0,Urban,0
Female,59,Yes,1,Graduate,Yes,7282,702,91669,120,1,Urban,1
Male,34,No,3+,Graduate,No,3709,970,125209,360,1,Rural,1
Female,54,No,1,Graduate,No,3603,1799,92282,360,0,Rural,1
Female,65,No,0,Graduate,No,6138,1066,255851,360,1,Semiurban,1
Male,56,Yes,2,Graduate,No,2661,1904,44901,360,0,Semiurban,1
Female,45,No,0,Graduate,No,6155,2779,71882,360,1,Semiurban,1
Male,58,No,0,Graduate,No,4622,1827,129474,360,1,Semiurban,1
Male,52,Yes,0,Graduate,No,7650,4359,106323,180,1,Rural,1
Female,64,Yes,0,Graduate,No,2900,846,117538,360,0,Semiurban,1
Male,65,No,2,Graduate,No,3051,1138,27371,180,1,Rural,1
Male,35,No,1,Not Graduate,No,3965,5970,91781,120,1,Semiurban,1
Male,31,No,1,Graduate,No,3510,1004,98960,240,1,Rural,1
Male,52,Yes,0,Not Graduate,No,5771,12839,125914,360,1,Semiurban,1
Female,61,Yes,0,Graduate,No,3197,3916,113803,360,1,Semiurban,1
Male,58,Yes,0,Graduate,No,1927,936,99232,60,1,Rural,1
Female,24,No,1,Not Graduate,No,8206,2888,94767,360,1,Urban,1
Male,58,No,0,Graduate,No,11488,2291,59645,360,1,Rural,1
Male,30,Yes,2,Graduate,Yes,1421,564,113324,360,0,Urban,0
Male,35,No,0,Not Graduate,No,4856,6219,93975,360,1,Semiurban,1
Male,54,Yes,0,Graduate,No,5700,3488,83056,360,1,Urban,1
Female,30,No,1,Graduate,No,4213,5892,98198,360,1,Urban,1
Female,53,Yes,2,Graduate,No,9361,4177,85485,360,0,Semiurban,1
Male,48,Yes,0,Not Graduate,No,1627,2390,55334,360,1,Urban,1
Male,19,Yes,1,Not Graduate,No,2596,4289,128381,120,1,Rural,1
Female,33,Yes,3+,Graduate,No,3881,620,208717,360,1,Rural,1
Male,26,Yes,3+,Graduate,No,6322,8839,110293,360,1,Rural,1
Male,26,Yes,1,Not Graduate,Yes,7512,3281,111095,360,1,Rural,1
Male,55,Yes,1,Graduate,No,1765,378,179840,180,1,Semiurban,1
Female,28,No,0,Graduate,No,1254,547,211349,360,1,Urban,1
Female,39,Yes,2,Graduate,No,5812,2275,92014,360,1,Rural,1
Female,50,Yes,0,Graduate,No,3904,887,73947,360,1,Semiurban,1
Male,53,Yes,3+,Graduate,No,4018,2740,117546,360,1,Urban,1
Male,62,No,0,Not Graduate,No,5897,821,105135,360,0,Urban,1
Female,40,Yes,0,Not Graduate,No,2239,653,145289,240,1,Semiurban,1
Female,62,No,1,Graduate,No,3152,1173,98863,360,0,Urban,1
Female,62,No,0,Graduate,No,4985,24709,101793,360,1,Urban,1
Female,51,Yes,0,Graduate,Yes,2058,753,67229,360,1,Semiurban,1
Male,26,Yes,1,Graduate,No,2629,4941,148528,360,1,Urban,1
Female,41,Yes,2,Graduate,No,3877,986,76561,240,1,Rural,1
Male,25,Yes,1,Graduate,Yes,4984,1683,61245,240,1,Semiurban,1
Female,24,No,0,Graduate,No,1528,1997,34166,360,1,Urban,1
Male,53,No,1,Graduate,No,5432,1720,94800,240,1,Rural,1
Female,35,Yes,0,Graduate,No,4731,1891,74298,360,1,Urban,1
Female,20,Yes,0,Graduate,Yes,2196,2369,89905,360,1,Semiurban,1
Female,45,No,1,Graduate,Yes,14038,547,81186,360,1,Semiurban,1
Female,23,No,2,Graduate,No,2058,1626,85295,360,1,Urban,1
Male,61,Yes,0,Not Graduate,Yes,5657,1729,71012,360,1,Semiurban,1
Female,61,Yes,1,Not Graduate,No,4300,2818,73191,240,1,Urban,1
Male,38,Yes,0,Graduate,Yes,2840,1443,67531,360,0,Urban,0
Male,45,No,0,Graduate,No,3843,2759,91246,360,1,Rural,1
Male,57,Yes,0,Graduate,No,5015,1072,62437,240,1,Urban,1
Male,18,Yes,3+,Graduate,No,20187,1162,163264,360,1,Urban,1
Female,53,No,2,Graduate,No,1526,2320,98358,60,1,Semiurban,1
Male,38,No,1,Not Graduate,No,715,794,53414,360,0,Rural,0
Male,60,No,1,Graduate,Yes,1986,1150,107786,360,1,Semiurban,1
Male,52,Yes,2,Graduate,Yes,3575,1217,68923,240,1,Rural,1
Female,30,Yes,0,Graduate,No,5427,1269,149937,240,1,Rural,1
Female,66,No,0,Graduate,No,3857,1892,77243,360,0,Semiurban,1
Female,27,Yes,0,Graduate,No,3323,886,172360,360,1,Semiurban,1
Female,61,Yes,1,Graduate,No,9154,2982,147249,360,1,Urban,1
Male,64,Yes,3+,Graduate,No,2265,1454,423408,360,1,Semiurban,1
Male,27,Yes,0,Graduate,No,9872,2497,102640,180,1,Rural,1
Female,63,Yes,0,Not Graduate,No,5283,676,130066,360,0,Rural,0
Male,30,No,0,Graduate,No,8953,183,99214,360,0,Urban,1
Male,54,No,2,Graduate,No,2067,3844,102131,240,1,Rural,1
Male,55,No,0,Graduate,Yes,2947,2136,161650,60,1,Rural,1
Female,41,Yes,0,Graduate,Yes,1515,2799,134459,360,1,Urban,1
Female,19,Yes,1,Graduate,No,4359,5187,95145,360,1,Semiurban,1
Male,39,Yes,1,Graduate,No,4414,852,167433,360,1,Rural,1
Female,34,No,0,Graduate,No,12150,425,147341,180,1,Urban,1
Female,53,Yes,0,Graduate,No,3821,3954,183987,360,1,Urban,1
Female,31,No,1,Graduate,No,1465,3046,160833,360,1,Semiurban,1
Female,27,No,0,Graduate,No,6415,4379,85701,360,1,Urban,1
Female,52,Yes,3+,Graduate,Yes,2104,6814,82108,360,1,Semiurban,1
Male,42,Yes,1,Graduate,No,1699,707,83266,360,1,Urban,1
Female,20,No,0,Graduate,No,5547,3825,134908,360,1,Semiurban,1
Male,64,No,0,Graduate,Yes,2296,1476,168916,360,1,Rural,1
Male,55,Yes,0,Graduate,No,2541,3916,150743,360,1,Rural,1
Female,34,Yes,0,Graduate,No,8446,7854,55757,240,1,Urban,1
Male,29,No,3+,Not Graduate,No,4954,1848,74175,360,1,Rural,1
Male,69,Yes,2,Graduate,No,5209,995,129741,360,1,Semiurban,1
Male,41,Yes,0,Not Graduate,No,1594,611,161392,360,1,Rural,1
Female,46,Yes,0,Graduate,No,5559,297,111663,360,1,Urban,1
Female,60,Yes,0,Graduate,No,3082,5775,181897,360,1,Semiurban,1
Male,42,Yes,0,Graduate,No,2789,6073,46339,360,1,Urban,1
Female,53,Yes,1,Graduate,No,4652,4060,90786,360,1,Semiurban,1
Female,43,Yes,0,Graduate,No,3659,1421,174007,360,1,Urban,1
Female,55,Yes,3+,Graduate,No,1513,3394,113057,360,1,Rural,1
Female,18,No,0,Not Graduate,No,6445,2309,71537,240,1,Semiurban,1
Male,37,No,1,Graduate,No,6826,714,135392,360,1,Rural,1
Male,45,No,2,Graduate,Yes,2559,4531,104293,360,1,Semiurban,1
Female,33,No,0,Not Graduate,No,5246,2718,82060,240,1,Urban,1
Female,64,Yes,0,Not Graduate,No,6298,3258,52646,180,1,Urban,1
Male,34,Yes,0,Graduate,No,1186,2347,130417,360,1,Semiurban,1
Male,57,No,0,Graduate,No,2672,2011,63915,360,1,Rural,1
Female,45,Yes,3+,Graduate,No,985,2398,232552,360,1,Rural,1
Male,29,Yes,3+,Graduate,No,5326,1439,48388,360,1,Rural,1
Female,44,No,3+,Graduate,No,4759,2938,100903,360,1,Semiurban,1
Female,59,Yes,2,Graduate,No,2457,8613,133334,360,1,Urban,1
Male,64,Yes,0,Graduate,No,3327,2618,65721,360,1,Urban,1
Male,47,No,3+,Not Graduate,No,2919,4418,74323,360,1,Rural,1
Female,58,No,3+,Not Graduate,No,1070,702,138702,180,1,Urban,1
Female,51,Yes,0,Graduate,No,7944,3465,67488,360,1,Urban,1
Male,54,No,0,Graduate,No,4243,2718,212830,360,1,Semiurban,1
Female,23,No,1,Graduate,Yes,3339,4274,100937,120,1,Urban,1
Male,24,No,0,Graduate,Yes,3352,1287,83466,360,1,Semiurban,1
Female,49,Yes,0,Graduate,No,5567,3975,188877,240,1,Urban,1
Male,49,Yes,3+,Not Graduate,No,1405,1016,64638,180,1,Urban,1
Male,42,No,3+,Graduate,No,2153,4495,197186,360,1,Urban,1
Male,50,No,0,Graduate,Yes,4137,4749,66639,360,0,Rural,1
Female,24,No,0,Graduate,No,7110,746,163373,360,0,Semiurban,1
Female,69,Yes,2,Not Graduate,Yes,857,2419,208097,120,1,Urban,1
Male,29,Yes,1,Not Graduate,No,6618,1516,94694,60,1,Urban,1
Female,33,No,0,Not Graduate,Yes,2380,2669,94573,360,1,Rural,1
Male,33,Yes,1,Graduate,No,3065,1866,88077,360,0,Semiurban,0
Male,60,Yes,2,Graduate,No,3715,1511,72203,360,1,Semiurban,1
Female,53,Yes,3+,Graduate,No,1876,1135,102121,360,0,Semiurban,1
Female,30,Yes,0,Graduate,No,1729,5730,141874,60,1,Semiurban,1
Male,24,No,0,Not Graduate,No,4123,998,124891,60,1,Rural,1
Female,53,No,3+,Graduate,No,11349,1168,120989,360,0,Rural,1
Female,64,Yes,0,Graduate,No,2063,662,73614,360,0,Urban,1
Male,68,Yes,1,Graduate,No,2054,3586,64147,360,1,Rural,1
Male,26,No,0,Graduate,Yes,1747,4145,200212,360,1,Rural,1
Female,49,Yes,0,Graduate,No,3180,2475,57873,120,1,Semiurban,1
Male,28,Yes,0,Graduate,Yes,2019,976,92897,240,1,Semiurban,1
Male,25,No,0,Graduate,No,2045,462,133375,360,1,Rural,1
Female,50,Yes,3+,Graduate,No,4130,2829,181398,360,1,Rural,1
Male,40,No,0,Not Graduate,No,1530,3711,99566,60,1,Urban,1
Male,42,Yes,2,Graduate,Yes,9637,1202,110165,360,1,Semiurban,1
Female,25,Yes,2,Graduate,No,1798,1919,81714,360,1,Rural,1
Female,62,Yes,0,Graduate,No,7178,514,197270,360,1,Semiurban,1
